trigger_us,ready1_us,ready2_us,ready3_us,ready4_us,ready5_us,ready6_us,ready7_us,ready8_us,ready9_us,ready10_us,ready11_us,ready12_us,done1_us,done2_us,done3_us,done4_us,done5_us,done6_us,done7_us,done8_us,done9_us,done10_us,done11_us,done12_us,lat_ready1_us,lat_ready2_us,lat_ready3_us,lat_ready4_us,lat_ready5_us,lat_ready6_us,lat_ready7_us,lat_ready8_us,lat_ready9_us,lat_ready10_us,lat_ready11_us,lat_ready12_us,skew_ready_us,iter_total_us,dist1_mm,dist2_mm,dist3_mm,dist4_mm,dist5_mm,dist6_mm,dist7_mm,dist8_mm,dist9_mm,dist10_mm,dist11_mm,dist12_mm
8828386,8828400,8828413,8828426,8828439,8828452,8828465,0,8828491,8828504,8828517,8828530,0,8931413,8934430,8937448,8940466,8943483,8946501,0,8949519,8952537,8955554,8958572,0,14,27,40,53,66,79,-1,105,118,131,144,-1,130,130186,437,368,1100,3846,152,170,-1,302,321,170,136,-1
8969603,9019661,9019194,9019440,9018562,9019039,9019323,8969694,9019155,9018961,9019608,9019091,8969758,9022679,9025696,9028714,9031732,9034749,9037767,9040785,9043803,9046820,9049838,9052856,9055873,50058,49591,49837,48959,49436,49720,91,49552,49358,50005,49488,155,49967,86270,438,370,1068,3851,149,171,2092,287,324,162,138,6
9066907,9116927,9116279,9116550,9116176,9116189,9116047,9116563,9116499,9116421,9116693,9116111,9119033,9122050,9125068,9128086,9131104,9134121,9137139,9140157,9143175,9146192,9149210,9152228,9155245,50020,49372,49643,49269,49282,49140,49656,49592,49514,49786,49204,52126,2986,88338,439,373,1077,3843,151,170,2088,302,319,174,138,6
9166279,9216503,9215909,9216115,9215393,9215547,9215418,9216232,9215780,9215689,9216594,9215483,9218099,9221116,9224134,9227152,9230169,9233187,9236205,9239222,9242240,9245258,9248276,9251293,9254311,50224,49630,49836,49114,49268,49139,49953,49501,49410,50315,49204,51820,2706,88032,439,502,1068,3842,150,171,2097,303,324,174,139,7
9265345,9315165,9314583,9314906,9314609,9314738,9314635,9314919,9314764,9314932,9315282,9314403,9317794,9320811,9323829,9326847,9329864,9332882,9335900,9338917,9341935,9344953,9347971,9350988,9354006,49820,49238,49561,49264,49393,49290,49574,49419,49587,49937,49058,52449,3391,88661,438,379,1081,3840,152,171,2081,292,323,171,138,7
9365040,9415110,9414592,9414825,9414309,9414167,9414180,9414890,9414709,9414451,9415058,9414244,9416928,9419946,9422964,9425981,9428999,9432017,9435035,9438052,9441070,9444088,9447105,9450123,9453141,50070,49552,49785,49269,49127,49140,49850,49669,49411,50018,49204,51888,2761,88101,440,369,1047,3859,151,173,2094,557,320,161,138,7
9464174,9514102,9513417,9513765,9513288,9513559,9513778,9513907,9513700,9513804,9513998,9513378,9516417,9519435,9522453,9525470,9528488,9531506,9534523,9537541,9540559,9543577,9546594,9549612,9552630,49928,49243,49591,49114,49385,49604,49733,49526,49630,49824,49204,52243,3129,88456,440,892,1049,3872,150,170,2097,513,309,168,138,6
9563663,9613824,9613190,9613461,9612623,9612777,9612790,9613578,9613035,9613138,9613746,9612855,9615524,9618542,9621560,9624577,9627595,9630613,9633631,9636648,9639666,9642684,9645701,9648719,9651737,50161,49527,49798,48960,49114,49127,49915,49372,49475,50083,49192,51861,2901,88074,440,496,1064,3848,150,171,2097,566,315,171,139,7
9662770,9712594,9712270,9712283,9711884,9712167,9712180,9712374,9712387,9712400,9712568,9711974,9714910,9717927,9720945,9723963,9726980,9729998,9733016,9736033,9739051,9742069,9745087,9748104,9751122,49824,49500,49513,49114,49397,49410,49604,49617,49630,49798,49204,52140,3026,88352,437,911,1057,3827,150,169,2092,299,322,164,139,6
9762156,9812303,9811721,9812057,9811424,9811437,9811450,9812122,9811579,9811592,9812251,9811360,9813860,9816878,9819895,9822913,9825931,9828948,9831966,9834984,9838002,9841019,9844037,9847055,9850072,50147,49565,49901,49268,49281,49294,49966,49423,49436,50095,49204,51704,2500,87916,440,614,1070,1590,152,170,2087,564,311,165,139,6
9861142,9910940,9910591,9910707,9910616,9910629,9909972,9910785,9910526,9910733,9910953,9910037,9913321,9916339,9919356,9922374,9925392,9928410,9931427,9934445,9937463,9940481,9943498,9946516,9949534,49798,49449,49565,49474,49487,48830,49643,49384,49591,49811,48895,52179,3349,88392,439,377,1066,1590,151,171,2090,298,316,163,138,6
9950568,10000534,10000173,10000340,9999683,9999696,10000482,10000495,9999992,10000121,10000547,10000030,10002313,10005331,10008349,10011367,10014384,10017402,10020420,10023437,10026455,10029473,10032491,10035508,10038526,49966,49605,49772,49115,49128,49914,49927,49424,49553,49979,49462,51745,2630,87958,438,371,770,1580,151,171,2093,293,311,170,138,7
10039561,10089515,10088907,10089114,10088933,10088817,10088546,10089269,10089139,10089217,10089437,10088611,10091739,10094757,10097774,10100792,10103810,10106827,10109845,10112863,10115881,10118898,10121916,10124934,10127951,49954,49346,49553,49372,49256,48985,49708,49578,49656,49876,49050,52178,3193,88390,438,372,1065,3854,151,171,2083,549,325,165,138,7
10128987,10179146,10178681,10178888,10178101,10178242,10178126,10179159,10178475,10178384,10179120,10178036,10180952,10183969,10186987,10190005,10193022,10196040,10199058,10202075,10205093,10208111,10211129,10214146,10217164,50159,49694,49901,49114,49255,49139,50172,49488,49397,50133,49049,51965,2916,88177,437,371,1062,1598,150,171,2088,285,326,159,140,7
10218199,10268011,10267442,10267791,10267313,10267584,10267700,10268024,10267726,10267817,10268115,10267403,10270273,10273291,10276308,10279326,10282344,10285361,10288379,10291397,10294415,10297432,10300450,10303467,10306485,49812,49243,49592,49114,49385,49501,49825,49527,49618,49916,49204,52074,2960,88286,440,843,1050,3856,151,171,2084,528,318,162,138,7
10307521,10357629,10357034,10357318,10356480,10356635,10356647,10357435,10357073,10356892,10357603,10356570,10359447,10362465,10365483,10368500,10371518,10374536,10377554,10380571,10383589,10386607,10389624,10392642,10395660,50108,49513,49797,48959,49114,49126,49914,49552,49371,50082,49049,51926,2967,88139,435,371,1061,3824,151,170,2092,291,324,172,139,7
10396695,10446585,10446016,10446222,10445913,10446042,10445527,10446378,10446248,10446391,10446650,10445591,10449057,10452074,10455092,10458110,10461127,10464145,10467163,10470180,10473198,10476216,10479234,10482251,10485269,49890,49321,49527,49218,49347,48832,49683,49553,49696,49955,48896,52362,3530,88574,439,890,1054,3806,151,171,2088,304,323,164,138,6
10486305,10536310,10535896,10536064,10535419,10535432,10535818,10536232,10536012,10535612,10536323,10535754,10538049,10541067,10544085,10547102,10550120,10553138,10556155,10559173,10562191,10565209,10568226,10571244,10574262,50005,49591,49759,49114,49127,49513,49927,49707,49307,50018,49449,51744,2630,87957,440,591,1086,1565,150,172,2091,560,321,166,138,7
10575297,10625186,10624681,10624914,10624707,10624578,10624823,10624836,10624849,10624862,10625303,10624501,10627579,10630596,10633614,10636632,10639649,10642667,10645685,10648702,10651720,10654738,10657756,10660773,10663791,49889,49384,49617,49410,49281,49526,49539,49552,49565,50006,49204,52282,3078,88494,439,371,1082,3818,152,170,2085,296,323,174,138,7
10664827,10714936,10714341,10714742,10713787,10713942,10713954,10714690,10714290,10714199,10714910,10713877,10716585,10719602,10722620,10725638,10728655,10731673,10734691,10737708,10740726,10743744,10746762,10749779,10752797,50109,49514,49915,48960,49115,49127,49863,49463,49372,50083,49050,51758,2798,87970,437,371,1091,1600,151,172,2095,299,325,166,139,7
10753832,10803695,10803217,10803436,10803101,10803242,10803255,10803708,10803372,10803384,10803773,10803036,10806088,10809106,10812123,10815141,10818159,10821177,10824194,10827212,10830230,10833248,10836265,10839283,10842301,49863,49385,49604,49269,49410,49423,49876,49540,49552,49941,49204,52256,3052,88469,438,888,1080,1600,152,171,2092,299,322,171,138,7
