Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12
235,241,231,220,230,209,173,153,136,102,93,87
84,89,105,117,142,174,186,213,235,222,239,228
192,183,151,131,114,91,82,81,93,96,119,144
169,207,219,231,240,236,225,193,186,147,140,124
93,79,84,84,112,132,144,162,194,200,234,238
230,221,204,174,155,140,114,93,88,79,91,99
127,153,171,183,215,234,235,233,227,199,184,162
126,108,96,81,87,94,103,120,154,159,190,213
230,241,229,218,205,178,150,134,117,89,84,85
94,105,127,144,179,187,213,225,233,220,229,210
174,158,134,108,94,86,83,85,106,117,150,165
191,225,238,231,235,225,205,174,161,124,124,104
84,80,93,95,123,154,160,182,211,217,234,243
219,209,180,149,144,109,98,83,87,84,96,119
145,168,199,218,239,248,236,223,208,173,170,150
113,89,85,83,93,105,125,139,157,168,210,233
236,236,223,207,189,160,136,113,99,85,83,88
101,124,150,168,190,214,223,228,240,213,216,197
153,133,112,87,83,85,86,100,116,133,164,191
210,238,233,232,228,202,185,157,137,109,96,90
85,82,103,120,141,161,184,212,226,221,242,233
208,178,158,132,115,98,84,81,87,96,120,141
169,196,216,220,235,244,222,209,187,153,141,129
96,82,85,83,103,122,135,161,182,186,238,243
230,221,205,185,168,143,114,94,91,78,87,100
125,144,174,184,211,230,232,230,228,199,194,173
139,113,99,81,83,88,99,119,138,150,181,214
228,231,235,229,218,190,165,137,118,91,88,86
90,93,117,142,163,191,210,223,232,227,243,215
184,155,143,111,106,89,82,81,103,111,137,157
191,214,229,231,243,231,203,193,170,132,123,105
88,78,93,90,118,137,159,177,202,206,237,242
221,203,189,155,155,130,94,85,87,82,98,113
143,167,180,201,232,241,235,225,216,179,165,149
124,96,90,83,87,100,117,138,163,173,199,223
234,238,224,201,195,169,139,115,101,87,83,86
99,121,138,154,188,212,224,236,241,222,221,195
156,146,121,98,88,83,82,91,110,133,155,179
208,230,236,232,227,219,190,167,146,114,105,90
82,82,96,109,141,159,174,198,220,218,242,237
205,197,169,142,120,108,89,83,92,89,112,134
164,192,207,221,238,247,226,210,197,163,148,128
101,85,88,81,97,121,131,158,174,191,225,241
231,232,215,189,175,152,116,97,93,81,84,96
118,132,162,182,212,230,230,236,232,203,202,171
145,114,97,81,85,86,90,103,136,151,176,204
229,234,236,229,221,194,163,149,129,103,92,87
87,93,119,132,153,182,192,216,231,222,237,219
182,172,150,118,101,88,85,82,100,112,132,159
181,209,227,231,241,246,222,190,175,144,127,112
88,80,87,87,115,139,151,176,195,206,236,241
226,214,189,170,154,131,99,85,87,81,92,111
142,162,178,193,229,244,232,238,221,190,178,160
126,100,90,78,83,97,112,125,150,163,198,215
232,243,232,209,209,172,144,128,109,86,84,89
95,105,130,148,180,210,211,228,238,216,226,198
162,150,126,102,92,85,84,90,108,116,151,173
203,230,239,237,239,224,189,171,150,125,119,92
84,82,97,108,136,156,175,198,223,219,237,234
217,200,171,149,135,113,89,82,86,87,104,123
155,178,195,212,232,242,235,211,204,167,157,133
103,84,84,82,87,102,127,143,168,184,220,235
236,233,219,191,172,153,132,109,94,81,83,90
115,130,158,173,205,216,226,235,237,211,208,178
152,126,110,88,84,86,91,102,127,141,175,195
221,229,241,231,223,197,177,149,134,103,91,89
85,92,110,124,150,168,187,216,229,222,238,224
